# 143GHz 217GHz 353GHz
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.999973177909851074e-01 9.999983906745910645e-01 9.999986290931701660e-01
9.999945759773254395e-01 9.999967813491821289e-01 9.999972581863403320e-01
9.999909996986389160e-01 9.999946355819702148e-01 9.999954104423522949e-01
9.999864697456359863e-01 9.999919533729553223e-01 9.999931454658508301e-01
9.999810457229614258e-01 9.999887347221374512e-01 9.999904036521911621e-01
9.999747276306152344e-01 9.999850392341613770e-01 9.999871850013732910e-01
9.999675154685974121e-01 9.999807476997375488e-01 9.999835491180419922e-01
9.999593496322631836e-01 9.999759197235107422e-01 9.999793767929077148e-01
9.999503493309020996e-01 9.999705553054809570e-01 9.999748468399047852e-01
9.999403953552246094e-01 9.999647140502929688e-01 9.999697804450988770e-01
9.999295473098754883e-01 9.999582767486572266e-01 9.999642968177795410e-01
9.999178647994995117e-01 9.999513030052185059e-01 9.999583363533020020e-01
9.999051690101623535e-01 9.999438524246215820e-01 9.999519586563110352e-01
9.998916387557983398e-01 9.999358057975769043e-01 9.999451041221618652e-01
9.998772144317626953e-01 9.999272823333740234e-01 9.999377727508544922e-01
9.998618960380554199e-01 9.999182224273681641e-01 9.999299645423889160e-01
9.998456239700317383e-01 9.999086260795593262e-01 9.999217391014099121e-01
9.998285174369812012e-01 9.998984932899475098e-01 9.999130368232727051e-01
9.998104572296142578e-01 9.998878240585327148e-01 9.999038577079772949e-01
9.997915625572204590e-01 9.998766183853149414e-01 9.998943209648132324e-01
9.997717142105102539e-01 9.998649358749389648e-01 9.998842477798461914e-01
9.997509717941284180e-01 9.998527169227600098e-01 9.998737573623657227e-01
9.997293353080749512e-01 9.998399615287780762e-01 9.998627901077270508e-01
9.997068047523498535e-01 9.998266696929931641e-01 9.998513460159301758e-01
9.996833801269531250e-01 9.998129010200500488e-01 9.998394846916198730e-01
9.996590614318847656e-01 9.997985959053039551e-01 9.998271465301513672e-01
9.996338486671447754e-01 9.997837543487548828e-01 9.998143315315246582e-01
9.996077418327331543e-01 9.997683763504028320e-01 9.998010993003845215e-01
9.995807409286499023e-01 9.997525215148925781e-01 9.997873902320861816e-01
9.995528459548950195e-01 9.997361302375793457e-01 9.997732639312744141e-01
9.995240569114685059e-01 9.997192025184631348e-01 9.997586607933044434e-01
9.994943737983703613e-01 9.997017979621887207e-01 9.997435808181762695e-01
9.994637966156005859e-01 9.996838569641113281e-01 9.997280836105346680e-01
9.994323253631591797e-01 9.996653795242309570e-01 9.997121095657348633e-01
9.994000196456909180e-01 9.996464848518371582e-01 9.996957182884216309e-01
9.993667602539062500e-01 9.996269941329956055e-01 9.996788501739501953e-01
9.993326067924499512e-01 9.996070265769958496e-01 9.996615052223205566e-01
9.992976188659667969e-01 9.995865821838378906e-01 9.996437430381774902e-01
9.992616772651672363e-01 9.995656013488769531e-01 9.996255040168762207e-01
9.992249011993408203e-01 9.995440840721130371e-01 9.996068477630615234e-01
9.991872310638427734e-01 9.995221495628356934e-01 9.995877146720886230e-01
9.991486668586730957e-01 9.994996786117553711e-01 9.995681643486022949e-01
9.991092085838317871e-01 9.994766712188720703e-01 9.995481371879577637e-01
9.990689158439636230e-01 9.994531869888305664e-01 9.995276331901550293e-01
9.990276694297790527e-01 9.994292259216308594e-01 9.995067119598388672e-01
9.989855885505676270e-01 9.994047880172729492e-01 9.994853138923645020e-01
9.989426136016845703e-01 9.993798136711120605e-01 9.994635581970214844e-01
9.988988041877746582e-01 9.993544220924377441e-01 9.994412660598754883e-01
9.988540410995483398e-01 9.993284940719604492e-01 9.994185566902160645e-01
9.988084435462951660e-01 9.993020892143249512e-01 9.993953704833984375e-01
9.987619519233703613e-01 9.992752075195312500e-01 9.993717074394226074e-01
9.987145662307739258e-01 9.992478489875793457e-01 9.993476867675781250e-01
9.986663460731506348e-01 9.992199540138244629e-01 9.993231892585754395e-01
9.986172914505004883e-01 9.991916418075561523e-01 9.992982149124145508e-01
9.985672831535339355e-01 9.991628527641296387e-01 9.992728233337402344e-01
9.985164403915405273e-01 9.991335868835449219e-01 9.992470145225524902e-01
9.984647035598754883e-01 9.991038441658020020e-01 9.992206692695617676e-01
9.984121322631835938e-01 9.990736246109008789e-01 9.991939663887023926e-01
9.983586668968200684e-01 9.990429282188415527e-01 9.991667866706848145e-01
9.983043670654296875e-01 9.990118145942687988e-01 9.991391897201538086e-01
9.982491731643676758e-01 9.989801645278930664e-01 9.991111159324645996e-01
9.981930851936340332e-01 9.989480972290039062e-01 9.990826249122619629e-01
9.981362223625183105e-01 9.989156126976013184e-01 9.990536570549011230e-01
9.980784058570861816e-01 9.988825917243957520e-01 9.990242719650268555e-01
